Phường ,ID,Tên địa điểm,Giờ mở cửa,Giá vé / Giá nước,Địa chỉ,Class1,Class2,Link TikTok,TestLat,TestLon,Lat,Lon
,P067,Núi Langbiang Đà Lạt,07:30 - 17:00,Giá vé tham quan: Chỉ từ 50.000 VND/ người,"Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Thị trấn Lạc Dương, Huyện Lạc Dương, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@ha.didau/video/7447872324709256466?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,120.092.560,1.084.261.379,"12,0092560","108,4261379"
,P068,Làng Cù Lần Đà Lạt,08:00 - 17:00,Giá vé tham quan : Chỉ từ 120.000 VND/ người,"DDT722, Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : ĐT722, Lát, Lạc Dương, Lâm Đồng) ",Pure nature,Sporty,https://www.tiktok.com/@vie.viee__/video/7522824472684973319?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,120.737.846,1.083.726.522,"12,0737846","108,3726522"
,P069,Thung lũng Vàng Đà Lạt,07:00 – 17:00,Giá vé tham quan : Chỉ từ 70.000 VND/ người,"Khu du lịch Thung Lũng Vàng, Phường Lang Biang - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Lạt Đồng, Khu du lịch Thung Lũng Vàng, Lát, Lạc Dương, Lâm Đồng) ",Pure nature,Sporty,https://www.tiktok.com/@our.30s/video/7136387663283686682?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,120.057.122,1.083.808.731,"12,0057122","108,3808731"
Huyện Đức Trọng ,P070,Rừng thông núi Voi Đà Lạt,8:00 - 17:00,Giá vé tham quan : Chỉ từ 180.000 VND/ người,"Cao tốc Prenn/Km 214 Đường cao tốc Liên Khương - Prenn, Thôn K'Long, Xã Hiệp Thạnh, Tỉnh Lâm Đồng ( Địa chỉ cũ : Cao tốc Prenn/Km 214 Đường cao tốc Liên Khương - Prenn, Thôn K'Long, Đức Trọng, Lâm Đồng) ","50% nature, 50% human",Sporty,https://www.tiktok.com/@dalat.thienduongdulich/video/7426194662173510919?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,118.262.151,1.084.345.603,"11,8262151","108,4345603"
,P071,Thác Pongour Đà Lạt,7:00 – 17:30,Giá vé tham quan : Chỉ từ 20.000 VND/ người,"Thôn Tân Nghĩa, Xã Ninh Gia, Tỉnh Lâm Đồng ( Địa chỉ cũ : Thôn Tân Nghĩa, xã Ninh Gia, huyện Đức Trọng, tỉnh Lâm Đồng) ",Pure nature,Healing,https://www.tiktok.com/@chillcungyang/video/7521954258091085074?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,117.036.571,1.082.674.092,"11,7036571","108,2674092"
Huyện Đơn Dương,P072,Samten Hills Đà Lạt,6:00 - 20:00,Giá vé tham quan : Chỉ từ 250.000 VND/ người,"Thôn Kambute, Xã Đơn Dương, Tỉnh Lâm Đồng ( Địa chỉ cũ : Thôn Kambute, xã Tu Tra, huyện Đơn Dương, Lâm Đồng) ",Spiritual,None,https://www.tiktok.com/@klook_vietnam/video/7469637840184413441?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,116.977.797,1.084.394.740,"11,6977797","108,4394740"
Huyện Lâm Hà ,P073,Clover Spa Massage Đà Lạt,9:00 - 23:00,Giá vé trải nghiệm : Chỉ từ 150.000 VND/ người,"Xã Nam Ban Lâm Hà, Tỉnh Lâm Đồng ( Địa chỉ cũ : 27/5, Hai Bà Trưng, tỉnh Lâm Đồng) ",Healing,None,https://www.tiktok.com/@cloverspamassage/video/7348763925409697032?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,117.433.536,1.081.991.467,"11,7433536","108,1991467"
,P074,Thác Voi Đà Lạt,8:00 - 17:00,Giá vé : Chỉ từ 20.000 VND/ người,"Xã Nam Ban Lâm Hà, Tỉnh Lâm Đồng ( Địa chỉ cũ : Xã Gia Lâm, thị trấn Nam Ban, huyện Lâm Hà, tỉnh Lâm Đồng) ",Cafe,Healing,https://www.tiktok.com/@nhandian/video/7465300629456456967?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,118.332.318,1.082.911.370,"11,8332318","108,2911370"
,P075,Chùa Linh Ẩn Đà Lạt,5:00 - 17:00,N/A,"Xã Nam Ban Lâm Hà, Tỉnh Lâm Đồng ( Địa chỉ cũ : Ba Đình, TT. Nam Ban, Lâm Hà, Lâm Đồng) ",Spiritual,History,https://www.tiktok.com/@phat_su/video/7373648081503522049?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,118.304.951,1.083.262.789,"11,8304951","108,3262789"
,P076,Chuồn Chuồn Bistro Đà Lạt,7:30 - 17:00,Giá vé tham quan : Chỉ từ 100.000 VND/ người,"217 Thôn 5, Xã Nam Ban Lâm Hà, Tỉnh Lâm Đồng ( Địa chỉ cũ : 217 thôn 5, Mê Linh, Lâm Hà, Lâm Đồng) ","50% nature, 50% human",Healing,https://www.tiktok.com/@chuonchuon.dalat/video/7403274228545391890?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,118.410.118,1.083.385.977,"11,8410118","108,3385977"
Không rõ Phường/Xã,P077,Vườn châu Âu Đà Lạt (Euro Garden),7:00 - 17:00,Giá vé tham quan: Chỉ từ 300.000 VND/ người,"Xuân Trường, Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Xuân Trường, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Healing,https://www.tiktok.com/@dulichbazan/video/7491690153665252616?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,118.661.408,1.085.344.435,"11,8661408","108,5344435"
,P078,Cao nguyên hoa Đà Lạt,07:00 - 16:30,Giá vé tham quan : Chỉ từ 150.000 VND/ người,"Tiểu khu 158, Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : Tiểu khu 158, Đà Lạt, Lâm Đồng) ","50% nature, 50% human",Healing,https://www.tiktok.com/@caonguyenhoadl/video/7310219737361894657?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,119.492.946,1.084.315.292,"11,9492946","108,4315292"
,P079,Bảo tàng trà Long Đỉnh Đà Lạt,08:00 - 17:30,Giá vé 100.000 VND,"QL20, Trạm Hành, Phường Xuân Trường - Đà Lạt, Tỉnh Lâm Đồng ( Địa chỉ cũ : QL20, Trạm Hành, Đà Lạt, Lâm Đồng) ",History,None,https://www.tiktok.com/@chau_muoi/video/7490169472972623109?is_from_webapp=1&sender_device=pc&web_id=7539491341274269185,115.311.212,1.078.685.714,"11,5311212","107,8685714"
